
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: UTurnBottomShortCall_GC_M5_SHORT                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
33      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 1, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.14     45.45%       0.41       -74.39%      -0.91         -67.48%      1
34      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 1, 'max_positions': 1, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -2.50     44.83%       0.44       -47.36%      -0.91         -42.99%      1
35      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 1, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -2.50     44.83%       0.44       -47.36%      -0.91         -42.99%      1
36      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 2, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} 0.74      45.10%       0.37       -139.93%     -0.91         -127.92%     2
37      {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -0.75     41.33%       0.49       -112.23%     -0.92         -102.79%     5
38      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -1.49     40.54%       0.47       -130.38%     -0.92         -119.72%     5
39      {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 2, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.12     47.06%       0.49       -77.26%      -0.92         -71.04%      2
40      {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 1, 'max_positions': 5, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -0.41     51.98%       0.43       -135.55%     -0.92         -124.91%     5
41      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 1, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -2.14     48.28%       0.36       -71.92%      -0.92         -66.30%      1
42      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 1, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -2.14     48.28%       0.36       -71.92%      -0.92         -66.30%      1
43      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 1, 'max_positions': 1, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.72     39.39%       0.52       -53.09%      -0.93         -49.11%      1
44      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 1, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.72     39.39%       0.52       -53.09%      -0.93         -49.11%      1
45      {'option_days': 5, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 1, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -1.24     38.78%       0.51       -167.52%     -0.93         -155.26%     5
46      {'option_days': 3, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 12, 'max_positions': 2, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 0.5} -2.77     33.67%       0.80       -77.51%      -0.93         -71.84%      2
47      {'option_days': 4, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 5, 'require_high_above_prev_day_high': 1, 'stop_loss_ratio': 1.0} -1.20     45.19%       0.46       -193.33%     -0.93         -179.43%     5
48      {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.2, 'cooldown_hours': 1, 'max_positions': 5, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 0.5} -1.07     34.34%       0.75       -138.37%     -0.93         -128.81%     5
49      {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 1, 'max_positions': 1, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.52     46.43%       0.41       -83.91%      -0.93         -78.21%      1
50      {'option_days': 2, 'expiry_weekday': -1, 'entry_short': 0.4, 'entry_long': 0.1, 'cooldown_hours': 12, 'max_positions': 1, 'require_high_above_prev_day_high': 0, 'stop_loss_ratio': 1.0} -2.52     46.43%       0.41       -83.91%      -0.93         -78.21%      1
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
