entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,short_prem,long_prem,net_credit,short_settle,long_settle,final_pnl
2024-01-19 08:00:00,2024-01-19 08:00:00,direct_entry,2024-01-26 16:00:00,expiry,55,56,0.5937,0.2976,0.2961,0.0000,0.0000,0.2961
2024-01-24 09:00:00,2024-01-24 09:00:00,direct_entry,2024-02-02 16:00:00,expiry,55,56,0.6848,0.3753,0.3095,1.5800,0.5800,-0.6905
2024-02-02 15:00:00,2024-02-02 15:00:00,direct_entry,2024-02-09 16:00:00,expiry,57,58,0.6976,0.3641,0.3335,0.0000,0.0000,0.3335
2024-02-07 10:00:00,2024-02-07 10:00:00,direct_entry,2024-02-16 16:00:00,expiry,57,59,0.8778,0.2726,0.6051,0.0000,0.0000,0.6051
2024-06-21 14:00:00,2024-06-21 14:00:00,direct_entry,2024-06-28 16:00:00,expiry,69,70,0.7213,0.4146,0.3066,0.0000,0.0000,0.3066
2024-06-24 18:00:00,2024-06-24 18:00:00,direct_entry,2024-07-05 16:00:00,expiry,70,72,0.9009,0.3620,0.5389,0.0000,0.0000,0.5389
2024-07-09 13:00:00,2024-07-09 13:00:00,direct_entry,2024-07-19 16:00:00,expiry,71,73,0.9562,0.3831,0.5731,0.0000,0.0000,0.5731
2024-08-26 09:00:00,2024-08-26 09:00:00,direct_entry,2024-09-06 16:00:00,expiry,77,79,0.9914,0.4414,0.5501,0.0000,0.0000,0.5501
2024-08-26 13:00:00,2024-08-26 13:00:00,direct_entry,2024-09-06 16:00:00,expiry,77,79,1.0506,0.4717,0.5789,0.0000,0.0000,0.5789
2024-08-27 11:00:00,2024-08-27 11:00:00,direct_entry,2024-09-06 16:00:00,expiry,77,79,1.1395,0.5069,0.6326,0.0000,0.0000,0.6326
2024-11-05 17:00:00,2024-11-05 17:00:00,direct_entry,2024-11-15 16:00:00,expiry,85,87,1.0184,0.4661,0.5523,0.0000,0.0000,0.5523
2024-11-05 19:00:00,2024-11-05 19:00:00,direct_entry,2024-11-15 16:00:00,expiry,85,87,1.0698,0.4937,0.5762,0.0000,0.0000,0.5762
2024-11-06 09:00:00,2024-11-06 09:00:00,direct_entry,2024-11-15 16:00:00,expiry,85,87,1.1024,0.5022,0.6002,0.0000,0.0000,0.6002
2024-11-21 15:00:00,2024-11-21 15:00:00,direct_entry,2024-11-29 16:00:00,expiry,89,92,1.2409,0.3649,0.8761,3.6000,0.6000,-2.1239
2024-12-03 12:00:00,2024-12-03 12:00:00,direct_entry,2024-12-13 16:00:00,expiry,94,97,1.3158,0.4661,0.8497,0.1600,0.0000,0.6897
2024-12-05 08:00:00,2024-12-05 08:00:00,direct_entry,2024-12-13 16:00:00,expiry,96,98,1.0951,0.5185,0.5766,0.0000,0.0000,0.5766
2024-12-05 14:00:00,2024-12-05 14:00:00,direct_entry,2024-12-13 16:00:00,expiry,96,99,1.3928,0.4608,0.9320,0.0000,0.0000,0.9320
2025-01-27 09:00:00,2025-01-27 09:00:00,direct_entry,2025-02-07 16:00:00,expiry,96,99,1.5950,0.6357,0.9593,5.2200,2.2200,-2.0407
2025-02-11 09:00:00,2025-02-11 09:00:00,direct_entry,2025-02-21 16:00:00,expiry,104,107,1.2983,0.5004,0.7979,0.0000,0.0000,0.7979
2025-02-13 08:00:00,2025-02-13 08:00:00,direct_entry,2025-02-21 16:00:00,expiry,105,108,1.3583,0.4889,0.8695,0.0000,0.0000,0.8695
2025-04-14 16:00:00,2025-04-14 16:00:00,direct_entry,2025-04-25 16:00:00,expiry,96,99,1.3656,0.5150,0.8507,0.0000,0.0000,0.8507
2025-04-22 13:00:00,2025-04-22 13:00:00,direct_entry,2025-05-02 16:00:00,expiry,95,98,1.3437,0.4825,0.8612,3.7600,0.7600,-2.1388
2025-05-01 04:00:00,2025-05-01 04:00:00,direct_entry,2025-05-09 16:00:00,expiry,98,101,1.4071,0.4870,0.9201,0.0000,0.0000,0.9201
2025-05-05 15:00:00,2025-05-05 15:00:00,direct_entry,2025-05-16 16:00:00,expiry,101,104,1.3108,0.5095,0.8013,0.0000,0.0000,0.8013
2025-08-21 04:00:00,2025-08-21 04:00:00,direct_entry,2025-08-29 16:00:00,expiry,103,105,1.1641,0.5846,0.5795,0.0000,0.0000,0.5795
2025-10-15 04:00:00,2025-10-15 04:00:00,direct_entry,2025-10-24 16:00:00,expiry,109,112,1.3031,0.5049,0.7982,0.0000,0.0000,0.7982
2025-12-10 07:00:00,2025-12-10 07:00:00,direct_entry,2025-12-19 16:00:00,expiry,116,119,1.6767,0.7230,0.9537,0.0000,0.0000,0.9537
