code,interval,option_days,sharpe,win_rate,pnl_ratio,max_dd,recov_factor,total_return,margin_per_trade,max_concurrent,total_trades,peak_margin,score,group
ES,M15,28,3.4,0.9423,18.16,-0.007,343.0571428571428,2.4013999999999998,26352.92870032373,3,52,79058.78610097119,370.4711428571428,GroupA_IndexETF
GS,M5,28,4.02,0.9494,1.67,-0.007,175.07142857142858,1.2255,8078.120289191464,8,79,64624.96231353171,191.3464285714286,GroupD_Financial
QQQ,M15,28,2.74,0.878,1.73,-0.007,50.24285714285714,0.3517,2685.5921456279466,6,41,16113.55287376768,56.499857142857145,GroupA_IndexETF
SMH,M5,28,3.32,0.9104000000000001,1.62,-0.009399999999999999,46.6,0.4378,3083.981530461392,7,67,21587.870713229746,54.298,GroupB_SemiETF
TSM,M15,28,2.8,0.9375,0.89,-0.007,37.142857142857146,0.26,2614.130186204169,6,48,15684.781117225015,42.542857142857144,GroupC_BigTech
SH,M15,14,2.63,0.8936,1.38,-0.007,3.1142857142857143,0.0218,187.67065986140665,5,47,938.3532993070332,5.962285714285715,GroupZ_Other
