
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                           参数优化报告: MixUTurnBottomLongCall_ES_M5_LONG                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
19      {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.43      48.44%       1.53       -10.39%      4.69          48.74%       3
20      {'option_days': 21, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1, 'require_lower_k1_than_existing': 1} 1.26      59.26%       1.24       -14.42%      4.49          64.71%       3
21      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1, 'require_lower_k1_than_existing': 1} 1.02      51.32%       1.52       -14.63%      4.45          65.09%       3
22      {'option_days': 21, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1, 'require_lower_k1_than_existing': 1} 1.32      50.00%       1.92       -9.81%       4.44          43.60%       3
23      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 1.62      49.24%       1.56       -17.02%      4.39          74.80%       3
24      {'option_days': 28, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.26      56.60%       1.38       -14.40%      4.32          62.17%       3
25      {'option_days': 21, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 1.67      56.70%       1.27       -18.82%      4.31          81.07%       3
26      {'option_days': 21, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.44      50.79%       1.82       -11.45%      4.31          49.30%       3
27      {'option_days': 14, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.09      47.37%       1.73       -13.52%      3.99          53.90%       3
28      {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.21      46.09%       1.59       -12.98%      3.94          51.12%       3
29      {'option_days': 28, 'expiry_weekday': -1, 'entry_long': 0.5, 'entry_short': 0.2, 'cooldown_hours': 1, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 0} 1.58      56.58%       1.37       -21.27%      3.80          80.76%       3
30      {'option_days': 21, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.1, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 1, 'require_lower_k1_than_existing': 1} 1.24      52.94%       1.58       -12.61%      3.80          47.88%       3
31      {'option_days': 7, 'expiry_weekday': -1, 'entry_long': 0.4, 'entry_short': 0.2, 'cooldown_hours': 12, 'max_positions': 3, 'min_drop_from_prev_close': 0.0001, 'require_low_below_prev_day_low': 0, 'require_lower_k1_than_existing': 1} 1.35      42.75%       1.91       -9.34%       3.70          34.57%       3
