
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: UTurnLongCallMomentum_ES_M5_LONG                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
18      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.37     25.17%       2.57       -53.08%      -0.55         -29.32%      3
19      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.28     47.62%       1.02       -42.11%      -0.57         -24.01%      3
20      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.68     43.95%       1.04       -39.37%      -0.57         -22.60%      3
21      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.34     32.57%       1.88       -46.62%      -0.58         -27.04%      3
22      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.55     21.38%       3.06       -31.66%      -0.58         -18.51%      3
23      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.49     13.79%       5.03       -28.34%      -0.62         -17.54%      3
24      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.46     26.70%       2.41       -56.69%      -0.65         -36.92%      3
25      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.59     13.46%       5.14       -37.05%      -0.65         -24.13%      3
26      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.62     20.69%       3.03       -26.07%      -0.66         -17.20%      2
27      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.80     33.33%       1.60       -25.07%      -0.75         -18.70%      3
28      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -0.82     31.90%       1.64       -21.56%      -0.75         -16.17%      2
29      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.08     20.97%       3.01       -73.99%      -0.84         -61.98%      3
30      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -1.26     13.91%       3.83       -55.02%      -0.84         -46.28%      3
31      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.84     45.58%       1.02       -47.14%      -0.85         -39.90%      3
