open_dt,open_price,close_dt,close_price,pnl_pts
2024-01-16 05:35:00,4790.2500,2024-01-16 05:40:00,4789.7500,-0.5000
2024-01-17 02:30:00,4773.2500,2024-01-17 02:35:00,4773.7500,0.5000
2024-01-17 13:50:00,4753.5000,2024-01-17 13:55:00,4754.2500,0.7500
2024-03-05 14:05:00,5147.6400,2024-03-05 14:10:00,5147.3800,-0.2600
2024-03-05 15:30:00,5133.2100,2024-03-05 15:35:00,5130.9300,-2.2800
2024-03-11 10:15:00,5167.1200,2024-03-11 10:20:00,5159.7800,-7.3400
2024-03-14 15:35:00,5197.2500,2024-03-14 15:40:00,5201.7500,4.5000
2024-03-15 12:35:00,5178.0000,2024-03-15 12:40:00,5175.5000,-2.5000
2024-03-22 11:00:00,5294.0000,2024-03-22 11:05:00,5292.7500,-1.2500
2024-04-12 13:10:00,5165.0000,2024-04-12 13:15:00,5163.5000,-1.5000
2024-04-12 13:35:00,5155.5000,2024-04-12 13:40:00,5162.5000,7.0000
2024-04-12 15:15:00,5155.2500,2024-04-12 15:20:00,5158.0000,2.7500
2024-04-17 15:40:00,5069.0000,2024-04-17 15:45:00,5072.5000,3.5000
2024-04-19 15:05:00,5002.0000,2024-04-19 15:10:00,5006.5000,4.5000
2024-04-30 15:25:00,5092.5000,2024-04-30 15:30:00,5094.0000,1.5000
2024-05-13 23:35:00,5241.7500,2024-05-13 23:40:00,5241.2500,-0.5000
2024-05-15 08:20:00,5269.7500,2024-05-15 08:25:00,5270.2500,0.5000
2024-05-16 16:35:00,5317.2500,2024-05-16 16:40:00,5317.0000,-0.2500
2024-05-28 23:45:00,5307.0000,2024-05-28 23:50:00,5307.5000,0.5000
2024-05-29 07:30:00,5291.2500,2024-05-29 07:35:00,5292.0000,0.7500
2024-05-29 09:10:00,5285.0000,2024-05-29 09:15:00,5282.0000,-3.0000
2024-05-29 09:35:00,5283.5000,2024-05-29 09:40:00,5280.0000,-3.5000
2024-05-29 09:45:00,5282.0000,2024-05-29 09:50:00,5288.2500,6.2500
2024-05-29 12:15:00,5290.0000,2024-05-29 12:20:00,5292.0000,2.0000
2024-05-30 01:30:00,5253.0000,2024-05-30 01:35:00,5251.0000,-2.0000
2024-05-30 01:45:00,5251.5000,2024-05-30 01:50:00,5252.7500,1.2500
2024-05-31 12:30:00,5211.5000,2024-05-31 12:35:00,5213.7500,2.2500
2024-06-03 12:35:00,5263.0000,2024-06-03 12:40:00,5260.0000,-3.0000
2024-06-04 01:15:00,5298.2500,2024-06-04 01:20:00,5297.2500,-1.0000
2024-06-04 03:30:00,5287.2500,2024-06-04 03:35:00,5288.5000,1.2500
2024-06-20 13:10:00,5540.0000,2024-06-20 13:15:00,5540.0000,0.0000
2024-06-20 13:40:00,5539.7500,2024-06-20 13:45:00,5538.5000,-1.2500
2024-07-17 11:05:00,5653.5000,2024-07-17 11:10:00,5649.7500,-3.7500
