entry_dt,settlement_dt,close_reason,k,entry_prem,exit_prem,volume,final_pnl
2024-01-03 10:00:00,2024-01-05 00:20:00,stop_loss,4770,40.2009,19.7862,1,-20.4147
2024-01-05 05:50:00,2024-01-08 14:55:00,take_profit,4720,40.6569,81.7627,1,41.1058
2024-01-16 05:35:00,2024-01-17 13:45:00,stop_loss,4790,42.9846,20.5662,1,-22.4185
2024-01-17 13:50:00,2024-01-19 04:00:00,take_profit,4750,43.2990,87.7881,1,44.4891
2024-01-17 02:30:00,2024-01-19 13:10:00,take_profit,4770,44.7691,91.0635,1,46.2944
2024-03-05 15:30:00,2024-03-07 09:35:00,take_profit,5130,46.2298,92.5847,1,46.3548
2024-03-05 14:05:00,2024-03-07 13:25:00,take_profit,5150,43.7002,88.3227,1,44.6225
2024-03-11 10:15:00,2024-03-12 15:00:00,take_profit,5170,44.1377,88.7862,1,44.6484
2024-03-14 15:35:00,2024-03-19 07:30:00,stop_loss,5200,43.7281,21.5418,1,-22.1864
2024-03-15 12:35:00,2024-03-20 14:45:00,take_profit,5180,44.3535,99.5580,1,55.2045
2024-03-22 11:00:00,2024-03-26 15:30:00,stop_loss,5290,48.6764,23.1441,1,-25.5323
2024-04-12 13:10:00,2024-04-15 13:20:00,stop_loss,5160,47.7697,23.5779,1,-24.1918
2024-04-12 15:15:00,2024-04-15 13:25:00,stop_loss,5160,42.4173,18.5981,1,-23.8191
2024-04-17 15:40:00,2024-04-18 20:50:00,stop_loss,5070,43.4842,21.4242,1,-22.0600
2024-04-19 15:05:00,2024-04-23 09:50:00,take_profit,5000,44.5177,89.3345,1,44.8168
2024-04-30 15:25:00,2024-05-01 05:05:00,stop_loss,5090,45.5180,22.6772,1,-22.8409
2024-05-13 23:35:00,2024-05-15 12:45:00,take_profit,5240,45.2601,91.0410,1,45.7809
2024-05-15 08:20:00,2024-05-16 10:55:00,take_profit,5270,46.6379,93.9838,1,47.3459
2024-05-16 16:35:00,2024-05-22 13:40:00,stop_loss,5320,44.6263,21.8307,1,-22.7956
2024-05-28 23:45:00,2024-05-29 22:20:00,stop_loss,5310,43.3765,21.4002,1,-21.9763
2024-05-29 07:30:00,2024-05-30 15:45:00,stop_loss,5290,47.7134,21.6597,1,-26.0536
2024-05-29 09:10:00,2024-05-30 20:10:00,stop_loss,5280,49.3807,23.1942,1,-26.1866
2024-05-31 12:30:00,2024-05-31 15:55:00,take_profit,5210,46.4414,103.1326,1,56.6912
2024-06-03 12:35:00,2024-06-05 11:40:00,take_profit,5260,47.6586,95.3503,1,47.6918
2024-05-30 01:30:00,2024-06-05 13:00:00,take_profit,5250,49.1042,99.0879,1,49.9837
2024-06-04 01:15:00,2024-06-05 18:00:00,take_profit,5300,47.1124,140.1944,1,93.0820
2024-06-20 13:10:00,2024-06-24 14:10:00,stop_loss,5540,48.4520,24.0462,1,-24.4058
