open_dt,open_price,close_dt,close_price,pnl_pts
2024-02-13 10:15:00,4978.5000,2024-02-13 10:30:00,4981.0000,2.5000
2024-02-20 13:30:00,4980.2500,2024-02-20 13:45:00,4983.5000,3.2500
2024-03-05 15:30:00,5133.2100,2024-03-05 15:45:00,5148.6500,15.4400
2024-03-24 19:00:00,5291.2500,2024-03-24 19:15:00,5291.5000,0.2500
2024-03-25 03:00:00,5285.2500,2024-03-25 03:15:00,5285.5000,0.2500
2024-05-08 09:30:00,5198.2500,2024-05-08 09:45:00,5204.7500,6.5000
2024-05-29 09:45:00,5352.3700,2024-05-29 10:00:00,5354.6500,2.2800
2024-07-18 12:30:00,5605.7500,2024-07-18 12:45:00,5609.0000,3.2500
2024-07-24 12:45:00,5557.2800,2024-07-24 13:00:00,5565.3600,8.0800
2024-07-24 16:00:00,5540.6000,2024-07-24 16:15:00,5542.3700,1.7700
2024-08-02 03:15:00,5484.2400,2024-08-02 03:30:00,5489.8100,5.5700
2024-08-02 09:00:00,5464.2800,2024-08-02 09:15:00,5462.7700,-1.5100
2024-09-03 12:00:00,5641.6800,2024-09-03 12:15:00,5638.6500,-3.0300
2024-09-03 15:15:00,5606.8100,2024-09-03 15:30:00,5590.8900,-15.9200
2024-09-03 15:45:00,5603.2700,2024-09-03 16:00:00,5604.5300,1.2600
2024-09-06 05:15:00,5535.8000,2024-09-06 05:30:00,5533.2700,-2.5300
2024-10-21 08:00:00,5887.2500,2024-10-21 08:15:00,5890.2500,3.0000
2024-10-28 13:15:00,5867.5000,2024-10-28 13:30:00,5870.0000,2.5000
2024-11-15 03:30:00,5939.5000,2024-11-15 03:45:00,5943.2500,3.7500
2024-11-15 14:30:00,5890.7500,2024-11-15 14:45:00,5888.2500,-2.5000
2024-12-06 06:45:00,6082.7500,2024-12-06 07:00:00,6084.5000,1.7500
2024-12-09 15:45:00,6065.7500,2024-12-09 16:00:00,6061.5000,-4.2500
2024-12-10 04:45:00,6060.0000,2024-12-10 05:00:00,6063.7500,3.7500
2024-12-20 07:30:00,5883.2500,2024-12-20 07:45:00,5885.5000,2.2500
2024-12-27 12:45:00,5996.0000,2024-12-27 13:00:00,6000.2500,4.2500
2024-12-30 10:30:00,5940.7500,2024-12-30 10:45:00,5945.2500,4.5000
2025-01-27 02:30:00,6043.5000,2025-01-27 02:45:00,6029.0000,-14.5000
2025-01-27 04:30:00,6015.5000,2025-01-27 04:45:00,6010.5000,-5.0000
2025-01-27 06:00:00,5988.0000,2025-01-27 06:15:00,5979.5000,-8.5000
2025-02-20 12:00:00,6118.5000,2025-02-20 12:15:00,6120.5000,2.0000
2025-03-04 08:30:00,5825.5000,2025-03-04 08:45:00,5820.7500,-4.7500
2025-03-04 11:30:00,5773.5000,2025-03-04 11:45:00,5781.5000,8.0000
2025-03-10 12:00:00,5660.5000,2025-03-10 12:15:00,5653.2500,-7.2500
