
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: UTurnBottomLongCall_NQ_M15_LONG                             
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
12      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.5} 1.83      74.42%       1.74       -13.22%      16.40         216.79%      0
13      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.4} 1.78      73.17%       1.82       -12.98%      16.25         210.92%      0
14      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.4} 1.78      73.17%       1.82       -12.98%      16.25         210.92%      0
15      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.3} 1.83      73.17%       1.84       -12.95%      16.18         209.43%      0
16      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.3} 1.83      73.17%       1.84       -12.95%      16.18         209.43%      0
17      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.7, 'stop_loss_ratio': 0.7} 1.95      77.78%       1.30       -9.18%       16.12         148.00%      0
18      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.7, 'stop_loss_ratio': 0.7} 1.95      77.78%       1.30       -9.18%       16.12         148.00%      0
19      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.6, 'stop_loss_ratio': 0.4} 1.59      55.81%       3.36       -10.43%      15.67         163.41%      0
20      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.6, 'stop_loss_ratio': 0.4} 1.59      55.81%       3.36       -10.43%      15.67         163.41%      0
21      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.5} 1.82      74.42%       1.74       -13.56%      15.56         210.96%      0
