品种,周期,杠杆,Return,Sharpe,MaxDD,RecovFactor,Trades,WinRate,PnLRatio,AvgPnL
ES,M15,2.98x,+215.43%,3.57,-20.60%,10.46,132,80.30%,0.71,"$1,632"
NQ,M15,4.28x,+252.92%,2.19,-33.83%,7.48,165,76.97%,0.52,"$1,533"
