long_entry_time,short_entry_time,planned_expiry,actual_settlement_time,is_early_exit,k1,k2,long_entry_price,short_entry_price,net_debit,long_settlement_price,short_settlement_price,payoff,net_pnl
2024-03-05 15:30:00,2024-03-08 15:30:00,2024-03-27 15:30:00,2024-03-27 15:30:00,False,135,144.29,6.493784038104678,1.8307935841224428,4.6629904539822356,0.0,0.0,0.0,-4.6629904539822356
2024-05-31 15:00:00,2024-06-03 15:00:00,2024-06-26 15:00:00,2024-06-12 16:00:00,True,130,141.86,8.148437531389206,3.161216772010974,4.987220759378232,34.2238039821375,22.806227620679266,11.41757636145823,6.430355602079999
2024-06-20 14:00:00,2024-06-21 15:30:00,2024-07-17 14:00:00,2024-07-17 14:00:00,False,175,185.09,9.929672022249164,2.873583303569049,7.056088718680115,0.0,0.0,0.0,-7.056088718680115
2024-07-17 10:30:00,2024-07-18 11:00:00,2024-08-07 10:30:00,2024-08-07 10:30:00,False,160,171.6,8.823399883117133,2.1317630613542526,6.691636821762881,0.0,0.0,0.0,-6.691636821762881
2024-08-05 09:30:00,2024-08-08 09:30:00,2024-08-28 09:30:00,2024-08-15 19:00:00,True,135,150.47,8.29284887151016,3.1025408934681664,5.190307978041993,31.86698903174684,17.39160753307152,14.475381498675318,9.285073520633325
2024-07-30 16:00:00,2024-07-31 15:00:00,2024-08-21 16:00:00,2024-08-21 16:00:00,False,145,209.09,7.14754826365035,0.10164208344358716,7.045906180206763,20.889999999999986,0.0,20.889999999999986,13.844093819793223
2024-08-01 16:30:00,2024-08-02 08:30:00,2024-08-28 16:30:00,2024-08-28 16:30:00,False,150,158.9,7.891739057976906,2.290662192851439,5.601076865125467,6.199999999999989,0.0,6.199999999999989,0.5989231348745214
2024-09-03 15:30:00,2024-09-05 16:00:00,2024-09-25 15:30:00,2024-09-23 08:30:00,True,155,162.77,6.747033827187536,1.5964996410335779,5.150534186153958,17.04874151756971,9.530450434736565,7.518291082833144,2.367756896679186
2024-10-01 13:30:00,2024-10-04 13:30:00,2024-10-23 13:30:00,2024-10-23 13:30:00,False,170,185.02,7.643382907275026,4.36822356208426,3.2751593451907652,2.9499999999999886,0.0,2.9499999999999886,-0.3251593451907766
2024-09-27 14:30:00,2024-09-30 14:30:00,2024-10-23 14:30:00,2024-10-23 14:30:00,False,175,183.17,8.74111030729243,4.266185241487449,4.474925065804982,0.0,0.0,0.0,-4.474925065804982
2024-10-31 14:00:00,2024-11-04 04:00:00,2024-11-27 14:00:00,2024-11-27 14:00:00,False,170,179.16,8.666775702132483,4.9465333071824205,3.7202423949500627,0.0,0.0,0.0,-3.7202423949500627
2024-11-20 15:00:00,2024-11-25 04:00:00,2024-12-11 15:00:00,2024-12-10 07:00:00,True,160,175.43,8.891240576017154,3.4741086671679042,5.4171319088492496,18.72355928437733,4.202520898291027,14.521038386086303,9.103906477237054
