long_entry_time,short_entry_time,planned_expiry,actual_settlement_time,is_early_exit,k1,k2,long_entry_price,short_entry_price,net_debit,long_settlement_price,short_settlement_price,payoff,net_pnl
2024-05-31 15:00:00,2024-06-03 15:00:00,2024-06-21 15:00:00,2024-06-12 16:00:00,True,135,142.97,5.675551174567396,2.301118021578503,3.3744331529888925,33.242497240514126,25.362177187795652,7.880320052718474,4.505886899729582
2024-08-05 09:00:00,2024-08-08 09:00:00,2024-08-30 09:00:00,2024-08-15 09:00:00,True,135,150.47,8.59907863161014,3.4005317895553304,5.19854684205481,28.356597902347147,14.688152949824044,13.668444952523103,8.469898110468293
2024-07-25 08:00:00,2024-07-29 04:00:00,2024-08-16 08:00:00,2024-08-16 08:00:00,False,150,162.68,8.177467542882184,3.297637685053779,4.879829857828405,14.599999999999994,1.9199999999999875,12.680000000000007,7.800170142171602
2024-08-02 11:00:00,2024-08-05 04:00:00,2024-08-23 11:00:00,2024-08-19 15:00:00,True,145,164.86,7.127345023813106,0.1831546347227917,6.9441903890903145,22.896678278459433,5.182771828949768,17.713906449509665,10.76971606041935
2025-03-04 11:00:00,2025-03-07 11:00:00,2025-03-28 11:00:00,2025-03-28 11:00:00,False,185,197.33,10.32333537196368,5.321082404766436,5.0022529671972435,0.0,0.0,0.0,-5.0022529671972435
2025-03-10 15:00:00,2025-03-12 10:00:00,2025-04-04 15:00:00,2025-04-04 15:00:00,False,185,224.96,9.820126610280866,1.8431142197999968,7.977012390480869,0.0,0.0,0.0,-7.977012390480869
2025-04-04 13:00:00,2025-04-07 04:00:00,2025-04-25 13:00:00,2025-04-09 15:00:00,True,150,168.96,6.908650782114435,0.30633782784916086,6.602312954265274,35.423124548562726,18.321817371488066,17.10130717707466,10.498994222809385
2025-03-18 14:00:00,2025-03-21 14:00:00,2025-04-11 14:00:00,2025-04-11 14:00:00,False,190,200.75,9.70074464477797,5.476674186744205,4.224070458033765,0.0,0.0,0.0,-4.224070458033765
2025-03-31 11:00:00,2025-04-03 11:00:00,2025-04-25 11:00:00,2025-04-24 09:00:00,True,165,174.14,8.504399724666982,2.7245390451835405,5.779860679483441,18.07967197190385,9.009428118340821,9.070243853563028,3.2903831740795866
2025-04-16 15:00:00,2025-04-21 04:00:00,2025-05-09 15:00:00,2025-05-02 08:00:00,True,175,184.64,8.913627995032186,2.342177089857877,6.571450905174309,27.56474704871198,18.478685916593776,9.086061132118203,2.514610226943894
2025-09-02 09:00:00,2025-09-05 09:00:00,2025-09-26 09:00:00,2025-09-10 09:00:00,True,295,352.49,14.864174450778592,12.657130329097214,2.2070441216813776,66.51359474480756,19.877893413624548,46.635701331183014,44.42865720950164
2025-11-14 09:00:00,2025-11-17 09:00:00,2025-12-05 09:00:00,2025-11-24 18:00:00,True,340,360.39,15.908832411980256,11.746803575928084,4.162028836052173,46.427261199437794,29.07208229749773,17.355178901940064,13.193150065887892
2025-11-21 11:00:00,2025-11-24 11:00:00,2025-12-12 11:00:00,2025-11-28 12:00:00,True,345,381.18,16.399563131787403,12.67422957673412,3.7253335550532825,59.379812674403865,29.181890359132296,30.19792231527157,26.472588760218287
2026-01-23 10:00:00,2026-01-26 10:00:00,2026-02-13 10:00:00,2026-02-09 12:00:00,True,320,335.73,16.031744077894274,10.65109270781818,5.3806513700760945,29.484054118547533,15.787325369274924,13.696728749272609,8.316077379196514
2026-03-02 09:00:00,2026-03-05 09:00:00,2026-03-27 09:00:00,2026-03-27 05:00:00,False,315,342.27,15.942311492656529,12.553293406335285,3.3890180863212436,0.0,0.0,0.0,-3.3890180863212436
