entry_dt,settlement_dt,close_reason,k_call,k_put,call_prem,put_prem,net_debit,call_settle,put_settle,final_pnl
2024-01-03 09:30:00,2024-01-10 16:00:00,expiry,16600,16300,171.4917,45.5759,217.0676,345.7500,0.0000,128.6824
2024-01-04 08:25:00,2024-01-11 16:00:00,expiry,16500,16150,166.8212,37.0856,203.9068,464.7500,0.0000,260.8432
2024-01-04 14:45:00,2024-01-11 16:00:00,expiry,16500,16150,152.8511,39.0607,191.9118,464.7500,0.0000,272.8382
2024-01-12 15:25:00,2024-01-19 16:00:00,expiry,16950,16600,167.9025,37.7724,205.6749,510.2500,0.0000,304.5751
2024-01-15 10:15:00,2024-01-22 16:00:00,expiry,16950,16600,167.0295,40.4821,207.5116,496.7500,0.0000,289.2384
2024-01-15 22:45:00,2024-01-22 16:00:00,expiry,16900,16550,157.5793,37.3703,194.9496,546.7500,0.0000,351.8004
2024-01-24 15:30:00,2024-01-31 16:00:00,expiry,17650,17300,164.1007,45.9436,210.0443,0.0000,46.2500,-163.7943
2024-01-24 20:55:00,2024-01-31 16:00:00,expiry,17600,17250,173.6757,39.2059,212.8817,0.0000,0.0000,-212.8817
2024-01-30 10:25:00,2024-02-06 16:00:00,expiry,17650,17300,177.9245,43.4018,221.3262,0.0000,0.0000,-221.3262
2024-02-02 02:50:00,2024-02-09 16:00:00,expiry,17600,17250,178.1154,46.6174,224.7328,432.5000,0.0000,207.7672
2024-02-12 09:00:00,2024-02-19 18:00:00,expiry,18050,17650,170.8886,41.1485,212.0371,0.0000,0.0000,-212.0371
2024-02-13 05:30:00,2024-02-20 16:00:00,expiry,17850,17500,186.5880,44.7588,231.3468,0.0000,0.0000,-231.3468
2024-02-13 13:10:00,2024-02-20 16:00:00,expiry,17700,17350,169.4918,45.6046,215.0964,0.0000,0.0000,-215.0964
2024-02-21 06:35:00,2024-02-28 16:00:00,expiry,17550,17200,166.0277,48.8695,214.8972,343.2500,0.0000,128.3528
2024-02-21 08:00:00,2024-02-28 16:00:00,expiry,17500,17150,178.7365,42.8259,221.5623,393.2500,0.0000,171.6877
2024-02-25 20:15:00,2024-03-04 16:00:00,expiry,17950,17550,177.4346,44.0403,221.4749,297.5000,0.0000,76.0251
2024-02-28 16:50:00,2024-03-06 16:00:00,expiry,17850,17500,176.6011,42.5867,219.1878,178.2500,0.0000,-40.9378
2024-03-04 10:05:00,2024-03-11 16:00:00,expiry,18300,17950,182.7447,48.3571,231.1017,0.0000,0.0000,-231.1017
2024-03-05 01:45:00,2024-03-12 16:00:00,expiry,18200,17800,175.2507,44.6611,219.9118,275.7500,0.0000,55.8382
2024-03-06 19:00:00,2024-03-13 16:00:00,expiry,18050,17700,163.3575,48.4616,211.8190,284.0000,0.0000,72.1810
2024-03-14 13:20:00,2024-03-21 16:00:00,expiry,18250,17900,175.2034,48.9735,224.1769,312.7500,0.0000,88.5731
2024-03-14 15:35:00,2024-03-21 16:00:00,expiry,18200,17850,178.6191,45.9358,224.5549,362.7500,0.0000,138.1951
2024-03-14 19:45:00,2024-03-21 16:00:00,expiry,18250,17900,166.6179,48.7894,215.4073,312.7500,0.0000,97.3427
2024-03-25 09:45:00,2024-04-01 16:00:00,expiry,18450,18100,192.1754,46.5930,238.7684,50.5000,0.0000,-188.2684
2024-03-27 15:20:00,2024-04-03 16:00:00,expiry,18400,18050,191.5400,43.4373,234.9772,0.0000,0.0000,-234.9772
2024-04-02 09:55:00,2024-04-09 16:00:00,expiry,18250,17900,184.1602,47.4038,231.5640,149.2500,0.0000,-82.3140
2024-04-12 07:00:00,2024-04-19 16:00:00,expiry,18400,18000,180.6562,42.1148,222.7710,0.0000,826.0000,603.2290
2024-04-12 09:30:00,2024-04-19 16:00:00,expiry,18300,17950,184.8847,47.8659,232.7506,0.0000,776.0000,543.2494
2024-04-12 11:00:00,2024-04-19 16:00:00,expiry,18200,17850,192.0863,43.5438,235.6301,0.0000,676.0000,440.3699
2024-04-24 15:05:00,2024-05-01 16:00:00,expiry,17650,17300,164.3220,46.0793,210.4014,0.0000,0.0000,-210.4014
2024-04-24 22:20:00,2024-05-01 16:00:00,expiry,17450,17150,177.4471,45.4085,222.8556,25.0000,0.0000,-197.8556
2024-04-30 05:00:00,2024-05-07 16:00:00,expiry,17900,17500,170.2493,41.8708,212.1201,304.0000,0.0000,91.8799
2024-05-03 03:30:00,2024-05-10 16:00:00,expiry,17750,17350,167.5242,42.0909,209.6151,500.0000,0.0000,290.3849
2024-05-05 23:20:00,2024-05-13 16:00:00,expiry,18000,17650,187.1315,49.2155,236.3470,292.5000,0.0000,56.1530
2024-05-09 01:10:00,2024-05-16 16:00:00,expiry,18150,17800,186.5324,50.0863,236.6187,496.5000,0.0000,259.8813
2024-05-13 23:55:00,2024-05-20 16:00:00,expiry,18250,17900,182.3415,40.7291,223.0706,514.5000,0.0000,291.4294
